maker_id,maker,model,product_id,feature_group,feature_name,description,source_ids,generated_from_audit
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,basic,定格内容積 650L,本体幅750mm、奥行745mm、高さ1828mm。,panasonic-wx3,no
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,energy,年間消費電力量 281kWh/年,2021年省エネ基準達成率117%。,panasonic-wx3,no
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freezing,霜つき抑制冷凍,温度変化から食品を守り、冷凍保存時の霜つきを抑える機能。,panasonic-wx3,no
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,energy,AIエコナビ,使用状況や収納量、ドア開閉などを見極めて自動で省エネ運転。,panasonic-wx3,no
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freezing,熱いまま急速冷凍,急速冷凍。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freezing,急凍・冷ます・急冷,作り置き・冷凍食品向け。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freshness,微凍結パーシャル,高鮮度保存機能。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freshness,微凍結パーシャル（解凍せず切り分け）,解凍不要調理。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,vegetables,Wシャキシャキ野菜室,野菜鮮度保持。パナソニック公式カタログの型番別機能一覧で確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,vegetables,モイスチャーコントロール,湿度・乾燥対策。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,usability,自動製氷,自動製氷。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freshness,ナノイーX・Agバイオ抗菌脱臭,脱臭。パナソニック公式カタログの型番別機能一覧で確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freshness,ナノイーX,除菌。パナソニック公式カタログの型番別機能一覧で確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freshness,Agバイオ抗菌脱臭,抗菌加工。パナソニック公式カタログの型番別機能一覧で確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,usability,全棚ガラストレイ・わけられるん棚,棚の可変性。パナソニック公式の型番別製品仕様で確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,energy,AIエコナビ（自動節電）,省エネ運転。パナソニック公式『AIエコナビ』対応機種一覧で確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,energy,AIエコナビ（生活リズム学習）,AI・生活パターン学習。パナソニック公式『AIエコナビ』対応機種一覧で確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,energy,収納量・開閉・照度・ひとセンサー,センサー省エネ。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,usability,無線LAN,Wi-Fi。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,usability,KitchenPocket,スマートフォン・アプリ連携。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,usability,別売冷蔵庫AIカメラ対応,食材管理。パナソニック公式『冷蔵庫AIカメラ 対応機種』一覧で確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,usability,運転状況・ドア開閉の確認,通知・見守り。メーカー公式カタログ・公式仕様表で搭載を確認,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,basic,トップユニット方式,コンプレッサーを最上部に配置し、下部の収納容量を確保。,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,basic,ローウエストライン,よく使う冷蔵室の棚を見渡しやすい低めの設計。,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,usability,奥まで見えるフルオープン,冷凍室・野菜室を奥まで引き出して見渡せる。,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freezing,上段深型ケース,冷凍室上段にも背の高い食品を収納できる。,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F65WX3,panasonic-nr-f65wx3,freezing,あら熱取り・急速冷却,クーリングアシストルームであら熱取りと急速冷却に対応。,panasonic-top-2026|panasonic-wx3,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,basic,定格内容積 551L,本体幅650mm、奥行699mm、高さ1850mm。,official-panasonic-models,no
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,energy,年間消費電力量 266kWh/年,2021年省エネ基準達成率112%。,official-panasonic-models,no
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,vegetables,野菜鮮度保持,メーカー公式仕様表で搭載を確認。,official-panasonic-models,no
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,usability,自動製氷,メーカー公式仕様表で搭載を確認。,official-panasonic-models,no
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,freezing,クーリングアシスト（急凍）,急速冷凍。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,freezing,クーリングアシスト／霜つき抑制冷凍,高品質冷凍。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,freezing,急凍・冷ます・急冷,作り置き・冷凍食品向け。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,freshness,パーシャル／チルド切替室,高鮮度保存機能。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,freshness,微凍結パーシャル（解凍せず切り分け）,解凍不要調理。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,vegetables,シャキシャキ野菜室,野菜鮮度保持。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,vegetables,モイスチャーコントロール,湿度・乾燥対策。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,freshness,ナノイーX・Wクリーンフィルター（抗菌・脱臭）,脱臭。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,freshness,ナノイーX,除菌。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,freshness,Wクリーンフィルター（抗菌・脱臭）,抗菌加工。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,usability,全棚ガラストレイ・わけられるん棚,棚の可変性。パナソニック公式の型番別製品仕様で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,energy,AIエコナビ（自動節電）,省エネ運転。パナソニック公式『AIエコナビ』対応機種一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,energy,AIエコナビ（生活リズム学習）,AI・生活パターン学習。パナソニック公式『AIエコナビ』対応機種一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,energy,開閉・照度・庫内温度センサー,センサー省エネ。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,usability,無線LAN,Wi-Fi。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,usability,KitchenPocket,スマートフォン・アプリ連携。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,usability,別売冷蔵庫AIカメラ対応,食材管理。パナソニック公式『冷蔵庫AIカメラ 対応機種』一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,usability,運転状況・ドア開閉の確認,通知・見守り。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,usability,AIエコナビ,AI機能。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,usability,奥まで見えるフルオープン,冷凍室・野菜室を奥まで引き出して見渡せる。,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY2,panasonic-nrf55hy2,freezing,上段深型ケース,冷凍室上段にも背の高い食品を収納できる。,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,basic,定格内容積 551L,本体幅650mm、奥行699mm、高さ1850mm。,official-panasonic-models,no
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,energy,年間消費電力量 266kWh/年,2021年省エネ基準達成率112%。,official-panasonic-models,no
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freezing,霜つき抑制冷凍,メーカー公式仕様表で搭載を確認。,official-panasonic-models,no
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,vegetables,野菜鮮度保持,メーカー公式仕様表で搭載を確認。,official-panasonic-models,no
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,usability,自動製氷,メーカー公式仕様表で搭載を確認。,official-panasonic-models,no
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freezing,クーリングアシスト（急凍）,急速冷凍。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freezing,クーリングアシスト／霜つき抑制冷凍,高品質冷凍。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freezing,急凍・冷ます・急冷,作り置き・冷凍食品向け。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freshness,パーシャル／チルド切替室,高鮮度保存機能。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freshness,微凍結パーシャル（解凍せず切り分け）,解凍不要調理。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,vegetables,シャキシャキ野菜室,野菜鮮度保持。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,vegetables,モイスチャーコントロール,湿度・乾燥対策。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freshness,ナノイーX・Wクリーンフィルター（抗菌・脱臭）,脱臭。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freshness,ナノイーX,除菌。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freshness,Wクリーンフィルター（抗菌・脱臭）,抗菌加工。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,usability,全棚ガラストレイ・わけられるん棚,棚の可変性。パナソニック公式の型番別製品仕様で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,energy,AIエコナビ（自動節電）,省エネ運転。パナソニック公式『AIエコナビ』対応機種一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,energy,AIエコナビ（生活リズム学習）,AI・生活パターン学習。パナソニック公式『AIエコナビ』対応機種一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,energy,開閉・照度・庫内温度センサー,センサー省エネ。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,usability,無線LAN,Wi-Fi。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,usability,KitchenPocket,スマートフォン・アプリ連携。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,usability,別売冷蔵庫AIカメラ対応,食材管理。パナソニック公式『冷蔵庫AIカメラ 対応機種』一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,usability,運転状況・ドア開閉の確認,通知・見守り。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,usability,AIエコナビ,AI機能。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,usability,奥まで見えるフルオープン,冷凍室・野菜室を奥まで引き出して見渡せる。,official-panasonic-models,yes
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freezing,上段深型ケース,冷凍室上段にも背の高い食品を収納できる。,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,basic,定格内容積 551L,本体幅685mm、奥行699mm、高さ1828mm。,official-panasonic-models,no
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,energy,年間消費電力量 252kWh/年,2021年省エネ基準達成率117%。,official-panasonic-models,no
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,freezing,霜つき抑制冷凍,メーカー公式仕様表で搭載を確認。,official-panasonic-models,no
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,vegetables,野菜鮮度保持,メーカー公式仕様表で搭載を確認。,official-panasonic-models,no
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,usability,自動製氷,メーカー公式仕様表で搭載を確認。,official-panasonic-models,no
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,energy,AIエコナビ,メーカー公式仕様表で搭載を確認。,official-panasonic-models,no
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,freezing,クーリングアシスト（急凍）,急速冷凍。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,freezing,クーリングアシスト／霜つき抑制冷凍,高品質冷凍。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,freezing,急凍・冷ます・急冷,作り置き・冷凍食品向け。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,freshness,パーシャル／チルド切替室,高鮮度保存機能。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,freshness,微凍結パーシャル（解凍せず切り分け）,解凍不要調理。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,vegetables,Wシャキシャキ野菜室,野菜鮮度保持。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,vegetables,モイスチャーコントロール,湿度・乾燥対策。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,freshness,ナノイーX・Agバイオ抗菌脱臭,脱臭。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,freshness,ナノイーX,除菌。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,freshness,Agバイオ抗菌脱臭,抗菌加工。パナソニック公式カタログの型番別機能一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,usability,全棚ガラストレイ・わけられるん棚,棚の可変性。パナソニック公式の型番別製品仕様で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,energy,AIエコナビ（自動節電）,省エネ運転。パナソニック公式『AIエコナビ』対応機種一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,energy,AIエコナビ（生活リズム学習）,AI・生活パターン学習。パナソニック公式『AIエコナビ』対応機種一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,energy,開閉・照度・庫内温度センサー,センサー省エネ。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,usability,無線LAN,Wi-Fi。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,usability,KitchenPocket,スマートフォン・アプリ連携。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,usability,別売冷蔵庫AIカメラ対応,食材管理。パナソニック公式『冷蔵庫AIカメラ 対応機種』一覧で確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,usability,運転状況・ドア開閉の確認,通知・見守り。メーカー公式カタログ・公式仕様表で搭載を確認,official-panasonic-models,yes
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,basic,トップユニット方式,コンプレッサーを最上部に配置し、下部の収納容量を確保。,official-panasonic-models,yes
